Название,Сайт,Бесплатный тариф,Цена (мин. платный),Цена (руб/мес),Рейтинг,Рейтинг (число),Аудитория,Ключевые функции,Мобильное приложение,Интеграции,Русский интерфейс,Источник,Дата сбора,Найден в источниках
Аспро.Cloud,aspro.cloud,Да,"2090 руб/мес (Старт, до 5 пользователей)",2090,4.9 (92 отзыва),4.9,"Малый и средний бизнес, управление проектами и продажами","CRM, управление проектами, финансовый учет",N/A,"20 сервисов (JivoSite, Модульбанк, Точка, Новофон, Mango Office и др.)",Да,https://a2is.ru/catalog/planirovanie/aspro-cloud,2026-03-19,2
ПланФикс,planfix.ru,Да,от 360 ₽/мес,360,4.8 (143 отзыва),4.8,"Малый и средний бизнес, команды","Задачи сотрудникам, управление проектами, общение с клиентами, распределение заявок",N/A,Автоматизация и настраиваемые маршруты,Да,https://a2is.ru/catalog/spiski-lichnyh-del-i-zametki/planfix,2026-03-19,3
Битрикс24,bitrix24.ru,Да,2490 руб/мес (за всю компанию),2490,4.3 (146 отзывов),4.3,"Малый, средний и крупный бизнес любого направления","База клиентов, воронка продаж, задачи и напоминания, диаграмма Ганта, email-рассылка, аналитика, телефония, складской учет, мобильное приложение, соцсети, создание сайтов","Да (Android, iOS)","Соцсети, телефония, почта, 1С и др.",Да,https://a2is.ru/catalog/rejting-crm-sistem/bitriks24,2026-03-19,5
RetailCRM,retailcrm.ru,Да,"10400 руб/мес (Профессиональный, до 3 пользователей)",10400,4.5 (40 отзывов),4.5,Интернет-торговля,"CRM для интернет-торговли, автоматизация бизнес-процессов",Да,"51 сервис (Google Analytics, Яндекс.Метрика, Roistat, JivoSite, InSales, Sipnet и др.)",Да,https://a2is.ru/catalog/crm-sistemy-vse/retailcrm,2026-03-19,4
CRM Простой бизнес,prostoy.ru,Да,от 2 990 ₽/мес,2990,4.9 (30 отзывов),4.9,Малый и средний бизнес,"Управление всей компанией, больше чем просто CRM",N/A,"Реклама, формы, госорганы (ЭДО)",Да,https://a2is.ru/catalog/besplatnye-crm/prostoj-biznes,2026-03-19,2
S2,salesap.ru,Да,500 руб/мес (тариф Старт),500,4.7 (27 отзывов),4.7,Бизнес любого масштаба и сферы деятельности,"Продажи, сервис, коммуникации, документация, отчеты, аналитика, дашборды, управление задачами/проектами, финансы, телефония, производство, складской учет, бронирование","Да (Android, iOS)","150+ интеграций по API (1С, банки, сайт, почта, телефония)",Да,https://a2is.ru/catalog/crm-sistemy-vse/salesapcrm,2026-03-19,2
Мегаплан,megaplan.ru,Да,от 450 ₽/мес за пользователя,450,4.5 (18 отзывов),4.5,Малый и средний бизнес,"Управление компанией, CRM",N/A,"Звонки, письма, сообщения",Да,https://a2is.ru/catalog/crm-sistemy-vse/megaplan,2026-03-19,3
StecRealty,stecrealty.ru,Да,N/A,,3.5 (4 отзыва),3.5,Застройщики и агентства недвижимости,Облачная CRM для недвижимости,N/A,N/A,Да,https://a2is.ru/catalog/programmy-dlya-agentstva-nedvizhimosti/stecrealty,2026-03-19,1
KeepinCRM,keepincrm.com,Да,N/A,,5.0 (1 отзыв),5.0,Малый и средний бизнес,Онлайн CRM система,N/A,N/A,Да,https://a2is.ru/catalog/crm-sistemy-vse/keepincrm,2026-03-19,1
Cloff CRM,cloff.ru,Да,N/A,,5.0 (1 отзыв),5.0,Бизнес любого профиля,"Контроль бизнеса, экономия на оборудовании, оптимизация телефонии и бизнес-процессов",N/A,N/A,Да,https://a2is.ru/catalog/crm-sistemy-vse/cloff,2026-03-19,2
offlineCRM,offlinecrm.ru,Да (полностью бесплатная),Нет платных тарифов,,0 (0 отзывов),,"Малый бизнес, не требующий облачного доступа","Автономная CRM, работает без интернета, данные хранятся локально на ПК",Нет (десктоп),Нет (автономная система),Да,https://a2is.ru/catalog/besplatnye-crm/offlinecrm,2026-03-19,1
PARADOX CRM,N/A,Да,N/A,,0 (0 отзывов),,Учебные центры,"Учет учеников и оплат, расписание, контроль посещаемости, работа с родителями",N/A,Простая интеграция (детали не указаны),Да,https://a2is.ru/catalog/besplatnye-crm/paradox-crm,2026-03-19,1
РосБизнесСофт CRM,rbs-crm.ru,N/A,N/A,,N/A,,"Малый и средний бизнес; управление клиентами, поставщиками, автоматизация производства","Управление клиентами, поставщиками, автоматизация производства, сервисное обслуживание",N/A,N/A,Да,https://crmindex.ru/products/rosbiznesssoft,2026-03-19,1
BPM2B CRM,bpm2b.ru,N/A,N/A,,N/A,,Малый и средний бизнес,"Low-code платформа, автоматизация продаж, сервис, поддержка",N/A,N/A,Да,https://crmindex.ru/products/bpm2b,2026-03-19,1
SimpleOne B2B CRM,simpleone.ru,Нет,Индивидуальный расчёт,,"CNewsMarket: 2-е место, AI: 82 балла",,"B2B-компании, корпоративный маркетинг","Управление сложными B2B-продажами, корпоративный маркетинг, Low-code инструменты",N/A,"DaData, настраиваемый обмен данными через API",Да,https://crmindex.ru/products/simpleone_b2b,2026-03-19,3
Мой Класс,moyklass.com,N/A,N/A,,N/A,,"Школы, детские центры, тренинговые центры, творческие центры обучения","Календарь занятий, абонементы, оповещения Telegram/WhatsApp, телефония, интеграция с сайтом",N/A,"Telegram, WhatsApp, телефония",Да,https://crmindex.ru/products/moyklass,2026-03-19,1
ПроМастер,scsoft.ru,N/A,N/A,,N/A,,"Сервисные центры, мастерские","Учет заказов, база клиентов, складской учет, продажи, SMS-уведомления",N/A,N/A,Да,https://crmindex.ru/products/scsoft,2026-03-19,1
Salesforce,salesforce.com,Да (Salesforce Free CRM — базовые функции),$25/user/month (Starter Suite),25,3.7/5 (Expert Market),3.7,Large and expanding businesses,"Lead management, email integration, pipeline monitoring, AI lead scoring, 4000+ integrations, advanced analytics",Да,4000+ apps,Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,1
Zendesk,zendesk.com,Нет,$19/user/month,19,N/A,,Customer service-driven businesses,"Customer service CRM, support tickets, VoIP integration",N/A,N/A,Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,1
